,Player,Team,Year,Height,Weight,40 Time,Pick,Teammate,Teammate Year,Tm_x,Age_x,Pos_x,G_x,GS_x,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Lng,Rush_Y/A,Rush_Y/G,Teammate Tm,Teammate Age,Teammate Pos,Teammate G,Teammate GS,Teammate Rush_Att,Teammate Rush_Yds,Teammate Rush_TD,Teammate Rush_1D,Teammate Rush_Lng,Teammate Rush_Y/A,Teammate Rush_Y/G,Teammate Rush_Fmb,Tgt,Rec,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fumbles,Total FP,FPPG
38,Najee Harris,PIT,2021,73,230,4.45,24,Benny Snell Jr.,2020,PIT,23.0,RB,17,17,307,1200,7,62,37,3.9,70.6,PIT,22.0,RB,16,3,111,368,4,25,30,3.3,23.0,2,94,74,467,6.3,3,22,25,5.0,4.4,27.5,0,300.7,17.68823529
39,Travis Etienne,JAC,2021,70,215,4.41,25,James Robinson,2020,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,JAX,22.0,RB,14,14,240,1070,7,54,47,4.5,76.4,3,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
40,Javonte Williams,DEN,2021,71,220,4.55,35,Melvin Gordon,2020,DEN,21.0,RB,17,1,203,903,4,52,49,4.4,53.1,DEN,27.0,RB,15,10,215,986,9,46,65,4.6,65.7,4,53,43,316,7.3,3,12,42,6.0,2.5,18.6,4,198.9,11.7
41,Trey Sermon,SF,2021,73,215,4.6,88,Elijah Mitchell,2020,SFO,22.0,RB,9,2,41,167,1,9,16,4.1,18.6,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,4,3,26,8.7,0,1,23,6.5,0.3,2.9,0,28.3,3.144444444
42,Michael Carter,NYJ,2021,70,201,4.5,107,Tevin Coleman,2020,NYJ,22.0,RB,14,11,147,639,4,29,55,4.3,45.6,SFO,27.0,RB,8,1,28,53,0,3,12,1.9,6.6,0,55,36,325,9.0,0,16,23,5.9,2.6,23.2,2,152.4,10.88571429
43,Kene Nwangwu,MIN,2021,74,210,4.32,119,Dalvin Cook,2020,MIN,23.0,RB,11,0,13,61,0,3,19,4.7,5.5,MIN,25.0,RB,14,14,312,1557,16,91,70,5.0,111.2,5,5,4,9,2.3,0,0,6,1.8,0.4,0.8,0,11.0,1.0
44,Rhamondre Stevenson,NE,2021,73,231,4.63,120,Damien Harris,2020,NWE,23.0,RB,12,2,133,606,5,33,21,4.6,50.5,NWE,23.0,RB,10,10,137,691,2,30,41,5.0,69.1,1,18,14,123,8.8,0,3,41,6.8,1.2,10.3,4,108.9,9.075
45,Chuba Hubbard,CAR,2021,72,210,4.48,126,Christian McCaffrey,2020,CAR,22.0,RB,17,10,172,612,5,36,26,3.6,36.0,CAR,24.0,RB,3,3,59,225,5,14,15,3.8,75.0,0,37,25,174,7.0,1,8,33,4.7,1.5,10.2,2,135.6,7.976470588
46,Kenneth Gainwell,PHI,2021,71,201,4.42,150,Miles Sanders,2020,PHI,22.0,RB,16,1,68,291,5,19,18,4.3,18.2,PHI,23.0,RB,12,11,164,867,6,39,82,5.3,72.3,4,50,33,253,7.7,1,14,19,5.1,2.1,15.8,4,115.4,7.2125
47,Elijah Mitchell,SF,2021,71,201,4.38,194,Trey Sermon,2020,SFO,23.0,RB,11,10,207,963,5,47,39,4.7,87.5,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,20,19,137,7.2,1,6,14,6.9,1.7,12.5,0,165.0,15.0
48,Gary Brightwell,ARI,2021,72,218,4.56,194,James Conner,2020,NYG,22.0,RB,13,0,1,4,0,0,4,4.0,0.3,PIT,25.0,RB,13,11,169,721,6,42,59,4.3,55.5,2,1,1,6,6.0,0,0,6,6.0,0.1,0.5,0,2.0,0.153846154
49,Larry Rountree,LAC,2021,70,210,4.68,198,Austin Ekeler,2020,LAC,22.0,RB,12,0,36,87,1,5,13,2.4,7.3,LAC,25.0,RB,10,10,116,530,1,26,27,4.6,53.0,1,2,1,-1,-1.0,0,0,0,-0.5,0.1,-0.1,0,15.6,1.3
50,Chris Evans,CIN,2021,71,211,4.44,202,Joe Mixon,2020,CIN,24.0,RB,14,1,17,77,0,3,13,4.5,5.5,CIN,24.0,RB,6,6,119,428,3,20,34,3.6,71.3,1,17,15,151,10.1,2,6,24,8.9,1.1,10.8,0,49.8,3.557142857
51,Demetric Felton,CLE,2021,70,189,4.58,211,Nick Chubb,2020,CLE,23.0,WR,16,2,7,24,0,0,12,3.4,1.5,CLE,25.0,RB,12,12,190,1067,12,56,59,5.6,88.9,1,21,18,181,10.1,2,10,33,8.6,1.1,11.3,8,34.5,2.15625
52,Khalil Herbert,CHI,2021,70,212,4.48,217,David Montgomery,2020,CHI,23.0,RB,17,2,103,433,2,24,29,4.2,25.5,CHI,23.0,RB,15,14,247,1070,8,59,80,4.3,71.3,1,16,14,96,6.9,0,6,20,6.0,0.8,5.6,2,74.9,4.405882353
53,Jake Funk,LAR,2021,70,205,4.53,233,Darrell Henderson,2020,LAR,23.0,RB,10,0,2,5,0,0,6,2.5,0.5,LAR,23.0,RB,15,11,138,624,5,40,40,4.5,41.6,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.5,0.05
54,Gerrid Doaks,MIA,2021,71,228,4.57,244,Myles Gaskin,2020,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,MIA,23.0,RB,10,7,142,584,3,27,26,4.1,58.4,2,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
55,Kylin Hill,GB,2021,72,214,4.55,256,Aaron Jones,2020,GNB,23.0,RB,8,0,10,24,0,1,8,2.4,3.0,GNB,26.0,RB,14,14,201,1104,9,52,77,5.5,78.9,2,2,1,5,5.0,0,0,5,2.5,0.1,0.6,0,3.9,0.4875
56,Jermar Jefferson,DET,2021,71,206,4.55,257,D'Andre Swift,2020,DET,21.0,RB,7,0,15,74,2,4,28,4.9,10.6,DET,21.0,RB,13,4,114,521,8,31,54,4.6,40.1,3,5,4,23,5.8,0,2,11,4.6,0.6,3.3,0,25.7,3.671428571
57,Clyde Edwards-Helaire,KC,2020,68,210,4.6,32,Le'Veon Bell,2019,KAN,21.0,RB,13,13,181,803,4,39,31,4.4,61.8,NYJ,27.0,RB,15,15,245,789,3,36,19,3.2,52.6,1,54,36,297,8.3,1,12,26,5.5,2.8,22.8,0,176.0,13.53846154
58,D'Andre Swift,DET,2020,69,212,4.48,35,Adrian Peterson,2019,DET,21.0,RB,13,4,114,521,8,31,54,4.6,40.1,WAS,34.0,RB,15,15,211,898,5,41,32,4.3,59.9,3,57,46,357,7.8,2,15,26,6.3,3.5,27.5,6,181.8,13.98461538
59,Jonathan Taylor,IND,2020,71,226,4.39,41,Nyheim Hines,2019,IND,21.0,RB,15,13,232,1169,11,69,62,5.0,77.9,IND,23.0,RB,16,2,52,199,2,16,18,3.8,12.4,1,39,36,299,8.3,1,12,39,7.7,2.4,19.9,2,250.8,16.72
60,Cam Akers,LAR,2020,70,217,4.47,52,Darrell Henderson,2019,LAR,21.0,RB,13,5,145,625,2,26,61,4.3,48.1,LAR,22.0,RB,13,0,39,147,0,10,22,3.8,11.3,0,14,11,123,11.2,1,4,38,8.8,0.8,9.5,2,99.8,7.676923077
61,J.K. Dobbins,BAL,2020,70,212,4.49,55,Gus Edwards,2019,BAL,22.0,RB,15,1,134,805,9,38,72,6.0,53.7,BAL,24.0,RB,16,1,133,711,2,46,63,5.3,44.4,2,24,18,120,6.7,0,4,19,5.0,1.2,8.0,4,156.5,10.43333333
62,AJ Dillon,GB,2020,73,247,4.53,62,Aaron Jones,2019,GNB,22.0,RB,11,0,46,242,2,11,30,5.3,22.0,GNB,25.0,RB,16,16,236,1084,16,55,56,4.6,67.8,3,2,2,21,10.5,0,1,16,10.5,0.2,1.9,0,40.3,3.663636364
63,Ke'Shawn Vaughn,TB,2020,70,214,4.51,76,Ronald Jones II,2019,TAM,23.0,RB,10,0,26,109,0,5,19,4.2,10.9,TAM,22.0,RB,16,9,172,724,6,34,49,4.2,45.3,3,10,5,34,6.8,1,2,13,3.4,0.5,3.4,2,21.3,2.13
64,Zack Moss,BUF,2020,70,222,4.65,86,Devin Singletary,2019,BUF,23.0,RB,13,0,112,481,4,30,31,4.3,37.0,BUF,22.0,RB,12,8,151,775,2,37,38,5.1,64.6,4,18,14,95,6.8,1,5,20,5.3,1.1,7.3,0,101.6,7.815384615
65,Darrynton Evans,TEN,2020,71,203,4.41,93,Derrick Henry,2019,TEN,22.0,RB,5,0,14,54,0,2,9,3.9,10.8,TEN,25.0,RB,15,15,303,1540,16,73,74,5.1,102.7,5,4,2,27,13.5,1,2,24,6.8,0.4,5.4,0,16.1,3.22
66,Joshua Kelley,LAC,2020,71,212,4.49,112,Austin Ekeler,2019,LAC,23.0,RB,14,0,111,354,2,20,33,3.2,25.3,LAC,24.0,RB,16,8,132,557,3,32,35,4.2,34.8,3,23,23,148,6.4,0,9,35,6.4,1.6,10.6,4,77.2,5.514285714
67,Lamical Perine,NYJ,2020,71,216,4.62,120,Frank Gore,2019,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,BUF,36.0,RB,16,8,166,599,2,30,41,3.6,37.4,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
68,Anthony McFarland Jr.,PIT,2020,70,208,4.44,124,James Conner,2019,PIT,21.0,RB,11,0,33,113,0,4,20,3.4,10.3,PIT,24.0,RB,10,10,116,464,4,26,25,4.0,46.4,1,9,6,54,9.0,0,1,17,6.0,0.5,4.9,0,22.7,2.063636364
69,DeeJay Dallas,SEA,2020,71,217,4.58,144,Chris Carson,2019,SEA,22.0,RB,12,2,34,108,2,9,13,3.2,9.0,SEA,25.0,RB,15,15,278,1230,7,75,59,4.4,82.0,7,20,17,111,6.5,1,5,13,5.6,1.4,9.3,0,56.9,4.741666667
70,Jason Huntley,DET,2020,69,193,4.37,172,D'Andre Swift,2019,PHI,22.0,RB,5,0,5,19,0,1,10,3.8,3.8,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,2,1,0,0.0,0,0,0,0.0,0.2,0.0,0,2.9,0.58
71,Josh Jacobs,LV,2019,70,220,4.6,24,Jalen Richard,2018,OAK,21.0,RB,13,13,242,1150,7,53,51,4.8,88.5,OAK,25.0,RB,16,1,55,259,1,11,30,4.7,16.2,3,27,20,166,8.3,0,8,28,6.1,1.5,12.8,2,189.6,14.58461538
72,Miles Sanders,PHI,2019,71,211,4.49,53,Jordan Howard,2018,PHI,22.0,RB,16,11,179,818,3,30,65,4.6,51.1,CHI,24.0,RB,16,15,250,935,9,53,42,3.7,58.4,2,63,50,509,10.2,3,19,45,8.1,3.1,31.8,4,210.7,13.16875
73,Darrell Henderson,LAR,2019,70,208,4.49,70,Malcolm Brown,2018,LAR,22.0,RB,13,0,39,147,0,10,22,3.8,11.3,LAR,25.0,RB,12,0,43,212,0,10,19,4.9,17.7,0,6,4,37,9.3,0,1,14,6.2,0.3,2.8,0,22.4,1.723076923
74,David Montgomery,CHI,2019,71,222,4.63,73,Tarik Cohen,2018,CHI,22.0,RB,16,8,242,889,6,50,55,3.7,55.6,CHI,23.0,RB,16,7,99,444,3,20,32,4.5,27.8,7,35,25,185,7.4,1,7,30,5.3,1.6,11.6,4,166.4,10.4
75,Devin Singletary,BUF,2019,68,203,4.66,74,Frank Gore,2018,BUF,22.0,RB,12,8,151,775,2,37,38,5.1,64.6,MIA,35.0,RB,14,14,156,722,0,25,39,4.6,51.6,1,41,29,194,6.7,2,5,49,4.7,2.4,16.2,8,133.9,11.15833333
76,Damien Harris,NE,2019,71,215,4.57,87,Sony Michel,2018,NWE,22.0,RB,2,0,4,12,0,0,13,3.0,6.0,NWE,23.0,RB,13,8,209,931,6,54,34,4.5,71.6,1,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,1.2,0.6
77,Alexander Mattison,MIN,2019,71,221,4.67,102,Dalvin Cook,2018,MIN,21.0,RB,13,0,100,462,1,19,35,4.6,35.5,MIN,23.0,RB,11,10,133,615,2,22,70,4.6,55.9,2,12,10,82,8.2,0,3,17,6.8,0.8,6.3,2,66.4,5.107692308
78,Bryce Love,WAS,2019,71,200,4.53,112,Adrian Peterson,2018,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,WAS,33.0,RB,16,16,251,1042,7,47,90,4.2,65.1,3,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
79,Justice Hill,BAL,2019,70,198,4.4,113,Mark Ingram,2018,BAL,22.0,RB,16,0,58,225,2,10,18,3.9,14.1,NOR,29.0,RB,12,6,138,645,6,34,38,4.7,53.8,3,15,8,70,8.8,0,5,14,4.7,0.5,4.4,0,49.5,3.09375
80,Benny Snell Jr.,PIT,2019,71,224,4.66,122,James Conner,2018,PIT,21.0,RB,13,2,108,426,2,19,23,3.9,32.8,PIT,23.0,RB,13,12,215,973,12,56,30,4.5,74.8,4,4,3,23,7.7,0,0,14,5.8,0.2,1.8,2,55.9,4.3
81,Tony Pollard,DAL,2019,72,210,4.52,128,Ezekiel Elliott,2018,DAL,22.0,RB,15,0,86,455,2,21,44,5.3,30.3,DAL,23.0,RB,15,15,304,1434,6,74,41,4.7,95.6,6,20,15,107,7.1,1,4,21,5.4,1.0,7.1,2,85.2,5.68
82,Ryquell Armstead,JAC,2019,71,220,4.45,140,Leonard Fournette,2018,JAX,23.0,RB,16,1,35,108,0,5,16,3.1,6.8,JAX,23.0,RB,8,8,133,439,5,23,25,3.3,54.9,0,24,14,144,10.3,2,9,31,6.0,0.9,9.0,0,51.2,3.2
83,Qadree Ollison,ATL,2019,73,232,4.58,152,Devonta Freeman,2018,ATL,23.0,RB,8,0,22,50,4,6,6,2.3,6.3,ATL,26.0,RB,2,2,14,68,0,2,20,4.9,34.0,0,2,1,7,7.0,0,1,7,3.5,0.1,0.9,2,26.7,3.3375
84,Jordan Scarlett,CAR,2019,70,208,4.47,154,Christian McCaffrey,2018,CAR,23.0,RB,9,0,4,9,0,0,6,2.3,1.0,CAR,22.0,RB,16,16,219,1098,7,53,59,5.0,68.6,4,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.9,0.1
85,Trayveon Williams,CIN,2019,69,206,4.51,182,Joe Mixon,2018,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,CIN,22.0,RB,14,13,237,1168,8,60,51,4.9,83.4,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
86,Ty Johnson,DET,2019,72,210,4.45,186,Kerryon Johnson,2018,DET,22.0,RB,16,1,63,273,0,11,40,4.3,17.1,DET,21.0,RB,10,7,118,641,3,32,71,5.4,64.1,1,31,24,109,4.5,0,4,13,3.5,1.5,6.8,2,58.2,3.6375
87,Dexter Williams,GB,2019,72,212,4.57,194,Aaron Jones,2018,GNB,22.0,RB,4,0,5,11,0,0,5,2.2,2.8,GNB,24.0,RB,12,8,133,728,8,41,67,5.5,60.7,1,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,1.1,0.275
88,Marcus Green,PHI,2019,69,191,4.38,203,Miles Sanders,2018,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
