Player,Team,Year,Height,Weight,40 Time,Pick,Teammate,Teammate Year,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Teammate Tm,Teammate Age,Teammate Pos,Teammate G,Teammate GS,Teammate Tgt,Teammate Rec,Teammate Yds,Teammate Y/R,Teammate TD,Teammate 1D,Teammate Lng,Teammate Y/Tgt,Teammate R/G,Teammate Y/G,Teammate Fmb,Total FP,FPPG
DJ Chark,JAX,2018,75,199,4.34,61,DeDe Westbrook,2017,JAX,22,WR,11,0,32,14,174,12.4,0,6,38,5.4,1.3,15.8,1,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4,2.672727273
Michael Gallup,DAL,2018,73,205,4.51,81,Amari Cooper,2017,DAL,22,WR,16,8,68,33,507,15.4,2,21,49,7.5,2.1,31.7,0,OAK,23,WR,14,12,96,48,680,14.2,7,28,87,7.1,3.4,48.6,1,95.7,5.98125
Tre'Quan Smith,NOR,2018,74,210,4.49,91,Michael Thomas,2017,NOR,22,WR,15,7,44,28,427,15.3,5,23,62,9.7,1.9,28.5,0,NOR,24,WR,16,14,149,104,1245,12,5,71,43,8.4,6.5,77.8,0,100.7,6.713333333
Keke Coutee,HOU,2018,71,180,4.43,103,DeAndre Hopkins,2017,HOU,21,WR,6,2,41,28,287,10.3,1,13,40,7,4.7,47.8,0,HOU,25,WR,15,15,174,96,1378,14.4,13,69,72,7.9,6.4,91.9,1,62.7,10.45
Antonio Callaway,CLE,2018,71,200,4.41,105,Jarvis Landry,2017,CLE,21,WR,16,11,79,43,586,13.6,5,27,71,7.4,2.7,36.6,1,MIA,25,WR,16,16,161,112,987,8.8,9,62,49,6.1,7,61.7,4,129.6,8.1
DaeSean Hamilton,DEN,2018,73,203,4.47,113,Emmanuel Sanders,2017,DEN,23,WR,14,5,45,30,243,8.1,2,16,24,5.4,2.1,17.4,0,DEN,30,WR,12,11,92,47,555,11.8,2,30,38,6,3.9,46.3,0,66.3,4.735714286
Jaleel Scott,BAL,2018,77,218,4.56,132,Willie Snead IV,2017,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J'Mon Moore,GB,2018,75,205,4.6,133,Davante Adams,2017,GNB,23,WR,12,0,3,2,15,7.5,0,1,10,5,0.2,1.3,1,GNB,25,WR,14,14,117,74,885,12,10,46,55,7.6,5.3,63.2,0,1.5,0.125
Justin Watson,TB,2018,75,215,4.64,144,Mike Evans,2017,TAM,22,WR,12,0,3,1,5,5,0,0,5,1.7,0.1,0.4,0,TAM,24,WR,15,15,136,71,1001,14.1,5,55,42,7.4,4.7,66.7,1,1.5,0.125
Daurice Fountain,IND,2018,73,210,4.46,159,T.Y. Hilton,2017,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IND,28,WR,16,16,109,57,966,16.9,4,38,80,8.9,3.6,60.4,2,0,0
Jordan Lasley,BAL,2018,73,213,4.5,162,Willie Snead IV,2017,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquez Valdes-Scantling,GB,2018,76,206,4.37,174,Davante Adams,2017,GNB,24,WR,16,10,73,38,581,15.3,2,23,60,8,2.4,36.3,0,GNB,25,WR,14,14,117,74,885,12,10,46,55,7.6,5.3,63.2,0,108.1,6.75625
